id,host_id,latitude,longitude,price,minimum_nights,calculated_host_listings_count,accommodates,bedrooms,bathrooms,beds,security_deposit,cleaning_fee,extra_people,maximum_nights,availability_30,amenities_number,neighbourhood_Bijlmer-Centrum,neighbourhood_Bijlmer-Oost,neighbourhood_Bos en Lommer,neighbourhood_Buitenveldert - Zuidas,neighbourhood_Centrum-Oost,neighbourhood_Centrum-West,neighbourhood_De Aker - Nieuw Sloten,neighbourhood_De Baarsjes - Oud-West,neighbourhood_De Pijp - Rivierenbuurt,neighbourhood_Gaasperdam - Driemond,neighbourhood_Geuzenveld - Slotermeer,neighbourhood_IJburg - Zeeburgereiland,neighbourhood_Noord-Oost,neighbourhood_Noord-West,neighbourhood_Oostelijk Havengebied - Indische Buurt,neighbourhood_Osdorp,neighbourhood_Oud-Noord,neighbourhood_Oud-Oost,neighbourhood_Slotervaart,neighbourhood_Watergraafsmeer,neighbourhood_Westerpark,neighbourhood_Zuid,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_House,property_type_Other,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_60
76668,409579,52.38897577588911,4.890432078271875,135,2,1,4,2.0,1.0,2.0,0.0,0.0,35.0,90,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
80634,436145,52.3797564854931,4.893977373685979,180,2,5,4,1.0,1.0,4.0,0.0,0.0,45.0,1125,15,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
80635,436145,52.37875854166035,4.8926359365709455,115,2,5,1,1.0,1.0,1.0,0.0,0.0,15.0,1125,19,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
82482,186729,52.370259733420504,4.8800301947340445,95,1,1,4,1.0,1.0,2.0,0.0,14.0,25.0,14,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
82748,450453,52.37307393018357,4.893431575249236,249,3,2,4,1.0,1.0,2.0,500.0,25.0,35.0,365,3,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
83498,124245,52.367227634831025,4.891235317846856,45,2,3,1,1.0,1.0,1.0,0.0,0.0,0.0,365,3,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
84057,459028,52.364877997706216,4.851095907658352,100,3,5,2,1.0,1.0,1.0,150.0,15.0,19.0,60,16,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
91535,494281,52.357253879494685,4.895879145277792,189,3,1,4,2.0,1.0,2.0,150.0,25.0,60.0,18,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
96048,510526,52.372700232233804,4.907761448144871,75,1,1,2,1.0,1.0,2.0,0.0,25.0,50.0,365,10,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
97221,195859,52.349103458307475,4.836112244063563,40,2,2,2,1.0,1.0,2.0,200.0,50.0,0.0,8,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
97476,485930,52.35637466896349,4.865793029491886,115,3,1,2,1.0,1.0,1.0,400.0,25.0,0.0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
107195,249794,52.370074473314865,4.919603853810988,150,3,1,3,1.0,1.0,3.0,0.0,30.0,45.0,365,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
107972,558976,52.363971570386646,4.876509426612257,100,3,1,2,1.0,1.0,2.0,150.0,25.0,0.0,7,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
108890,563208,52.36082925431396,4.856667424731347,100,5,1,4,1.0,1.0,2.0,150.0,30.0,20.0,30,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
115795,468497,52.352437256002645,4.895948040507284,165,90,1,4,1.0,1.0,2.0,0.0,50.0,15.0,365,13,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
118097,538659,52.365705366407134,4.884636190342678,94,4,2,2,1.0,1.0,1.0,0.0,0.0,0.0,100,4,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
